,Users,Comments
4709,hrtdlovebrkn,i am so bored!!  well lets see i am writing my spanish paper and guess wht! schools over  FML!
4710,LivLeigh,@mariakayy OH MAH GOODNESSS. I hope you feel better 
4711,lstein05,"It's the weekend! But I still have to study!!!  Oh well, better get used to it!"
4712,tombo23,Rly Bored 
4713,Javitud,@antiperfect 
4714,MonicaBenton,Trying not to be in a bad mood over the crappy job a &quot;friend&quot; w/biz did on my lawn. He overcharged and underperformed.  Bad combination 
4715,sln25373,@VickyJones1984 Yeah london is pretty crap2day. Cold n raining. 
4716,fayeth,Gawddamn. Sunburnt from the searing blast of rays this afternoon. And yet @elinne still couldn't audition! must wait till next sat 
4717,safiena,ouch..! not feeling well  sunburn
4718,CKuzemko,Spent the whole effin day revising! Mom's mad at me for not wanting to do Russian while Ira's here. I'm so tired!! And its only 8:30 pm! 
4719,iggalileo,unfortunate future organ donor members: teenagers biking on the street sans helmets while iPod'ing...  
4720,alisononyx,is bored &amp; cold. Weather is cramp  Damn you rain!!!!! 
4721,kiely,"My thumb is in so much pain. No advil, work at 12. "
4722,ntinez30,"sad thinking about where i was a week ago at this exact time, loooong sigh! "
4723,nadinastiti,pengen the sims 3 
4724,jocy154,why do things have to turn out so wrong 
4725,KiiMbahLey,@TwilightSnuggle Ashley TISDALE left Ashley GREENE CAME WITH RACHELLE.&lt;3 ii wanna meet THEM 
4726,gracesux,@DaveMP not cool. 
4727,EmptyIsAwesome,I wanna go back to sleep but I cant 
4728,shhshannon,@wastethisnight eh 4 
4729,secretagentboo,@thelithopedion remember your not allowed any glass bottles!  it's a pain having to pour all your drinkies in to plastic ones! hehhh!
4730,TopgunGWC,@rachel1975 So much disappointment so early in the day. 
4731,possimpible,My laptop charger is fucked up!  FUCK YOU HP!
4732,leexinhue,Is there any music cafe in sg? I wanna drink... 
4733,NannyAshie,Missing her already  http://mypict.me/2NWN
4734,Maaarye,"@VickyJones1984 rubbish weather in Brazil too... at least in Sao Paulo, where I live "
4735,weelissa,Flu in the summer. Gay in the face. Bed for me I think 
4736,musicjess,I want some lunch. I probably should have had breakfast this morning 
4737,dahcheet,"Dear Flickr, Why do you have a MONTHLY limit to upload? All my pics from new Nikon are too big to upload. "
4738,chocolatblu,SuesLady went from one emotion to the next. Poor Queenie.   Hair Day!  Yaaaay!  Lol.
4739,scyrulik,'s pooch just puked all over the living room. 
4740,maryjaneweedman,@rachelholliday 
4741,VicTheWulf,Gawd bless no person should be working on Saturday!!! 
4742,SteveHealy,@niamhsmith Yes it's lovely outside isn't it. I'm raiding the fridge for scraps as I have no intention of going shopping in the rain 
4743,lucyc_,"@mileycyrus your fans aren't all loaded, we cannot afford Ã‚Â£60 for uk tour dates! "
4744,weeps,@BananasMel wot's in ur head? hope not music.Since I awoke I have a drink music ad in my head     
4745,RhiannanxX,@ZRHERO Just had tea and tht was a bad  pickie lol i misspellt Bad as big lol wuu2 im bored 
4746,divokc,i wish i had a freaking book or something. devon is back with the guys getting ready and i'm all alone and soooo bored 
4747,nadiaidanadia,miss him in midnight  :'-( http://plurk.com/p/yx8rc
4748,krazyfrog,LOL! Female cat ran away. Male cat looks sad. What a CATastrophe! So much for getting pointers. 
4749,MrKenLe,@thisisanna GO AUSTRALIA! still 0 - 0 
4750,JaguarNac,@mcurie there was a powercut at tweetup? wow !! ... i missed 
4751,kshae1003,i hve a sore throat... ugh its killin me it came outta nowhere &amp; its annoyin..... 
4752,iFeelLessAlone,Hey hey. I'm cleaning boo lol but I'm almost done. My back is KILLING me today...I think I pulled something  mopping doesn't help that ha.
4753,indranama,sinhala bloggers ! why are you all sleepy today? very few blog posts 
4754,CJATL,@DuckDeez lucky u! I wish my school would've had one but our school president was too lazy 
4755,voodoochild9,i wish i had a Beatles purse 
4756,lost_dog,@Nerakxx I am lost. Please help me find a good home. 
4757,mallorykbass,@virginiapatton I'll try to take super qt pix like you and your little bitty ginger girl but I doubt max will stay still. 
4758,backseatsurfer9,Sent the fireman a message. He read and deleted it without replying. No fireman for me!  LOL
4759,ruggerbits,The boy's (FOIR) match today: we lost! 21 - 26 He scored one try though... 
4760,Sammeroni,@nikkluv &lt;3 I hate timezones  they make me angry. are you at work now?
4761,AmandaGrace17,The bird in my tree outside must have had post partum depression. 4 dead baby birds pushed out of the nest this morning. RIP baby birds 
4762,MikeMarquez,Why do I makes plans to do things early Saturday morning  #regret
4763,rahnrhan,im leaving.. my parents are going separate ways now!! i dont know who i will choice between them!!! 
4764,slurredspeech,"@NiGhT_RaVeN13 nooooo!  lol, i sent my form and they wanted 2 proofs of who i am and i forgot to send it back off. Woopsy! Did you votee?"
4765,CYimsofly,@mrolip the crazy part is jay aint gonna throw out an actual album til 4th quarter anyways...he just teasing us 
4766,MarianneSays,"@adriolivera nope, turns out her mom said they hav alot of stuff to do for disney "
4767,Kris10FB,cleanin my house and its so aggravatin! So i snuck off 4 a little while. I so wish i could go tubin 2day...but i cant 
4768,salsa_81,what a night! dammit I don't want to leave LA!!!!!!!    I can't explain how much I love 311. 
4769,EskimoJoelted,Head hurts now 
4770,clarebear92,I hate the rain! 
4771,_mollym,Early morning practices so brutal  on the upside hot men are working on my pool.
4772,Collin_Wolfboy,"I'm in a very lovey dovey mood today. SYDNEY, WHERE ARE YOU?! "
4773,jesssicababesss,@mileycyrus YOU MADE MY SISTER CRY  plesae bring the uk prices down !
4774,joyfullykaotic,should be at Firestone right now. 
4775,chica_deelish,I just woke up... N i'm ashamed  Lol
4776,timprater,@garymarkfuller Do I take it you haz more TV stations than I do? Watching the footie not possible here 
4777,_andre1313,@Halliwellicious perche? 
4778,jmeei,"@kuahjenhan: eh but I think the requirements are quite high, no? can't play it on my comp "
4779,jembie,@mfhorne  Only have the radio coverage 
4780,lesfloyd,"@lisarinna Sounds like Paradise! It's June and I have the heating on, here in north England. Not very Hollywood. "
4781,Emderella,@kliwaru lol lazy.. but i want people to follow me!!  hah. bored.
4782,Revengent,@Huddylicious Aww I can't see what it says 
4783,fishkills,my dog scratched my lip 
4784,FaithfullyFab,OMG! What a horrible night?! My sinuses were kicking my ass &amp; I barely got any sleep 
4785,booksbelow,"@CTK1 Finally found it! 'Because #FollowFriday IsnÃ¢Â€Â™t Just for Twitter'  http://is.gd/Qrst Gee, and I thought I was the 1st   LOL"
4786,Nathan133,Its slow... CP Is slow 
4787,ValleyGirl25,ughhhh still in pain. can't even workout cuz my skin hurts when it gets tight. even hurts to wear clothes 
4788,Leyaa15,guys if i really did something wrong pllz TELL ME 
4789,twkozlowski,"I was about to play a football match, but the other team didn't appear..  But I got wet, though."
4790,rajazama,@MusicSnob75 so sorry about your head 
4791,smillerunr,@brocore I didn't mean to be 
4792,veebeeseesyou,"@liamsp come back, li "
4793,rahnrhan,bye for now.. see you tomorrow... take care 
4794,geekindpink,Hungry! No food in sight. Pout. 
4795,katiejo112,went for a run this morning and now my face is sunburnt... and I used sunscreen! 
4796,raceforthetruth,@OgyJoe Sorry you're sick. Even worse that you can't enjoy the coldplay concert. 
4797,speckldharted,realized one of me followers left me  thats very sad
4798,tashaamay,"Have a lovely saturday evening all, I'm off to get drunk and then regret it in the morning when I remember I have work "
4799,xoxokiaxoxo,June 9- first day of school... [hope they'll move it on June 16 ..  ]
4800,stevegarufi,@Hetty4Christ I am SO JEALOUS you are @philladden are meeting an amazing summer Arizona tweet-up ... among the saguaros!!! 
4801,adriville,"@amhce4 You take the Nanny with you! If I had to travel, I'd be miserable without my munchkins "
4802,itscrazyk,sec place today! sec is the first loser! 
4803,miszniris,@JulieYoSoy lol aww dito that sucks I called @mrswaggerifik to say jello  buht noo he  pick up tellyfone!!  LOL
4804,BustAMoveSon,my twitter updates seem to become fewer and fewer as every week passes. i guess twitter doesn't do it for me any more 
4805,LauraaBrownn,Half way through breaking dawn  well atleast im almost back to bellas side of the story =/
4806,riadorable,Math written mock exam on monday  Going home to my boyfriend afterwards &lt;3
4807,raychL,so I have to pass on the BBQ today 
4808,chinto72,Feeling &quot;off&quot; today. Little waves of nausea.   Not sure why. But powering through b/c it will pass eventually.
4809,SherryAgee,@DharmaNurse Picture worked the second time I tried. 
4810,thee_shardae,I cnt find my dog!! 
4811,matty86,"long day ahead of me, wishing i could go to Hershey for the night... thats not looking like its going to be happening... "
4812,Manfred77,This morning was emotional. Went there with a headache and it became worse at the funeral. 
4813,yoletsee,"@slaastandards @sarshface @shelly_lynn Fingers crossed!! I can't see why it shouldn't be on the setlist, it's more than just a good song. "
4814,iaingblack,My flatmate invited a friend over so I can't play with my new toy!!! Gotta play good host    Oh well. Sweet beer will ease the pain...
4815,AmandaLSinger,@rijken then ud miss my party and that would be sad 
4816,cruzinstephie,My face feels like it is going to explode - stupid sinus crap. 
4817,elligraz,@urban_nerds not available in my country 
4818,StephRosa,@BinaryOffbeat I wanna do something too. Pero I'm stuck babysitting tonight 
4819,JasonSparksXXX,Mile High club? Not on this flight. No hotties on my plane  
4820,tambourinetotty,feeling WELL cheesed off with the bloody weather 
4821,x_shelby_x,Needs a holiday. Staying in England sucks. Especially now our sunny week has ended. I hate cold rainy weather. 
4822,paxtonavery,Opening day at the pool! Except it's really cold 
4823,microrapty,@kdashmoney  use ur wifi preciously. What happened to thy blackberry?
4824,heyydarc,Summer sucks so far 
4825,kimjonas1223,"@DavidArchie Davidddddddd. I wanna go! I was gonna go!! But i can't!  Good luck, Mr! :]"
4826,weiseldog,@myinnersexygirl sorry i missed you earliier today 
4827,Laura_AnneM,Changed my username. Wish I could come up with something more witty. 
4828,rachelray5,I feel sad but for a very stupid reason. 
4829,maisiemoon,"enjoyed my gamom for tea, once the kids are in bed its a lonely evening for me on my own "
4830,SoKissMeGoodbye,@killerannax -- sdkljglkjas i can't come over either.  my parents are being stupid.
4831,weeps,arhhhhhh &quot;she&quot; is back.. makes me think to Toyah but far from ... 
4832,anthonytrask,Wife &amp; I had good night's sleep w our kids at grandma's. Just got a call that Zion is throwing up though  On our way to get them soon--
4833,jacinj,@kelly_dinosaur NOOOOO BROCCOLI!!!!!!! REST IN PEACE 
4834,photomonster,this iPhone maps app is a liar. I am lost. 
4835,andreafideler,To the farmer's market for eatings for taday's bbq. Weather is not looking good 
4836,Jodz101,hurry up sims and install! nearly done...kinda...not it's only at 9% of superstar 
4837,m_neko,"@eightynine25 Don't worry, I know how you feel. "
4838,408Down,Love the smell of rain! Totally homesick for the Bay today 
4839,supercheeks,Just got a job at outback again with caleb...bussing 
4840,slurredspeech,!  . So not paying Ã‚Â£60 for a good seat to watch Miley. Guess BBC Switch was a good idea back in october lol
4841,Boy_Kill_Boy,@MCRmuffin i gtg  see ya!
4842,fromanotherPOV,proper cold! 
4843,KatestheSkates,No new car  but Hannie is on her way!
4844,ClakyDruott,@robotmichelle I don't think she has even checked it in weeks. 
4845,kristianinicole,call it a cook-in....not gonna b weather for cookout 
4846,inashlalaland,"at last, at home , i left at six am u.u im so so so TIRED,and devasted   i hope that the studios 'll be okaai "
4847,zappos_fly,"@LindaJosey yeah, but it started at 3 am yesterday "
4848,chrissypivot,"so much to get done this weekend, i don't even know where to start "
4849,jonnyactionpnts,"Got my ass handed to me Wii bowling, by my parents, after teaching them how to play...  "
4850,vicky_day,@_nicmac  ooh friday! haha. the only problem is its like 2 hours away from me! 
4851,KayTyler,"@salandpepper it hard isn't it. Well done for being strong, he'll thank you when he's 26 "
4852,sarafbabyy,@diiiannee why cant youuu 
4853,pamtje,Missing the good old days  wish I could turn back time
4854,LiFeisGD,@urNOjuice werd. Yoo remember wen every kid on got FLY! &amp; then they turned 18; them checks stopped and they landed.   
4855,SassyOutwater,@YasmineGalenorn I used to work for n airline rerouting passengers. The airline industry is a royal disaster! Sorry she's stuck. 
4856,justinleon,"@ChicMom oh and 1 more thing, there are NO LIDS ON DRINKS! "
